word,Reading,JLPT Level,Frequency Rank,Meaning
配給,はいきゅう,N1,2365,"distribution (e.g., films, rice"
ばい菌,ばいきん,N1,0,"bacteria, germ(s)"
配偶者,はいぐうしゃ,N1,0,spouse
拝啓,はいけい,N1,0,-- a formal greeting used at the beginning of a letter --
背景,はいけい,N1,1925,"background, scenery, setting"
背後,はいご,N1,9010,"back, rear"
廃止,はいし,N1,433,"abolition, repeal"
拝借,はいしゃく,N1,0,(humble) (polite) borrowing
排除,はいじょ,N1,4621,"exclusion, removal, rejection"
賠償,ばいしょう,N1,6331,"reparations, indemnity, compensation"
排水,はいすい,N1,5755,drainage
敗戦,はいせん,N1,5594,"defeat, losing a war"
配置,はいち,N1,1912,"arrangement (of resources), disposition"
配布,はいふ,N1,5480,distribution
配分,はいぶん,N1,12885,"distribution, allotment"
敗北,はいぼく,N1,3939,defeat (as a verb it means 'to be defeated')
倍率,ばいりつ,N1,0,"diameter, magnification"
配慮,はいりょ,N1,4802,"consideration, concern, forethought"
配列,はいれつ,N1,7358,"arrangement, array (programming)"
破壊,はかい,N1,1694,destruction
いたわる,いたわる,N1,0,"to sympathize with, to console, to care for"
一概に,いちがいに,N1,0,"unconditionally, necessarily"
著しい,いちじるしい,N1,15214,"remarkable, considerable"
